Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks,"CTR, %",Conversions,User Purchase,Actual Adv Payout
295,BENCHMADE,US-CA,California,5842,59,1.01,40,0,28.254
49,FJALLRAVEN,CA-BC,British Columbia,5844,329,5.62,149,1856.42,79.762
174,POSITEC-WORX-TRADR,US-CO,Colorado,5845,48,0.82,143,3095.83,28
252,SMARTBIZ-MDG-TRADR,US-CO,Colorado,5845,12,0.21,17,0,123.937
358,VISITDENVER,US-TX,Texas,5846,14,0.24,22,0,37.969
382,FILSON,US-FL,Florida,5847,161,2.76,40,0,128.785
358,VISITDENVER,US-RI,Rhode Island,5848,33,0.56,49,0,41.603
274,BOBOS,US-OR,Oregon,5849,61,1.05,66,0,34.264
358,VISITDENVER,US-OH,Ohio,5851,28,0.48,60,0,42.346
356,STARFACE-MDG-TRADR,US-OK,Oklahoma,5852,70,1.2,60,0,117.046
182,ZIPRECRUITER-MDG-TRADR,US-AZ,Arizona,5853,0,0,127,0,123.972
358,VISITDENVER,US-VA,Virginia,5855,10,0.17,31,0,38.604
274,BOBOS,US-RI,Rhode Island,5861,73,1.25,72,150.9,43.148
358,VISITDENVER,US-CO,Colorado,5863,14,0.24,11,0,36.89
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,5865,37,0.63,33,0,135.086
256,SHEEX-MDG-TRADR,US-ID,Idaho,5869,123,2.1,32,0,63.624
358,VISITDENVER,US-MA,Massachusetts,5869,34,0.58,43,0,39.522
358,VISITDENVER,US-NE,Nebraska,5870,9,0.15,24,0,24.852
49,FJALLRAVEN,US-WA,Washington,5870,235,4.01,106,885.85,51.198
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,5873,0,0,198,0,123.399
358,VISITDENVER,US-FL,Florida,5873,28,0.48,33,0,30.567
358,VISITDENVER,US-NJ,New Jersey,5873,30,0.51,50,0,28.487
182,ZIPRECRUITER-MDG-TRADR,US-WI,Wisconsin,5873,0,0,81,0,124.77
358,VISITDENVER,US-PA,Pennsylvania,5874,23,0.39,46,0,33.499
358,VISITDENVER,US-TX,Texas,5874,22,0.37,32,0,37.409
358,VISITDENVER,US-MI,Michigan,5875,20,0.34,65,0,41.749
358,VISITDENVER,US-OK,Oklahoma,5877,32,0.54,42,0,43.328
358,VISITDENVER,US-PA,Pennsylvania,5877,46,0.78,65,0,37.745
359,THEGREAT,US-IN,Indiana,5879,327,5.56,4,1068.03,49.112
358,VISITDENVER,US-MI,Michigan,5879,17,0.29,46,0,43.041
358,VISITDENVER,US-IA,Iowa,5880,20,0.34,48,0,35.999
358,VISITDENVER,US-MS,Mississippi,5880,16,0.27,31,0,58.544
256,SHEEX-MDG-TRADR,US-RI,Rhode Island,5880,223,3.79,46,0,68.918
174,POSITEC-WORX-TRADR,US-AZ,Arizona,5882,38,0.65,96,611.48,54.697
182,ZIPRECRUITER-MDG-TRADR,US-CA,California,5882,0,0,117,0,124.42
358,VISITDENVER,US-PA,Pennsylvania,5882,25,0.43,45,0,31.622
49,FJALLRAVEN,US-CA,California,5884,164,2.78,68,1238.53,47.057
358,VISITDENVER,US-IL,Illinois,5886,32,0.54,64,0,44.972
358,VISITDENVER,US-MI,Michigan,5887,19,0.32,23,0,35.263
252,SMARTBIZ-MDG-TRADR,US-WA,Washington,5888,16,0.27,17,0,130.697
174,POSITEC-WORX-TRADR,US-VA,Virginia,5890,186,3.16,119,783.64,36.604
358,VISITDENVER,US-KS,Kansas,5891,30,0.51,31,0,35.666
358,VISITDENVER,US-WI,Wisconsin,5891,24,0.41,51,0,33.963
298,ANON,US-IL,Illinois,5892,20,0.35,16,425.74,51.406
174,POSITEC-WORX-TRADR,US-WA,Washington,5892,45,0.77,105,496.48,45.224
358,VISITDENVER,US-NC,North Carolina,5895,38,0.64,73,0,44.768
216,ROYAL ROBBINS,US-AZ,Arizona,5897,235,3.98,281,6234.29,40.957
358,VISITDENVER,US-ID,Idaho,5897,13,0.22,38,0,37.226
359,THEGREAT,US-CA,California,5898,354,6,11,5231.5,66.897
382,FILSON,US-CA,California,5898,26,0.44,12,0,81.821
358,VISITDENVER,US-IN,Indiana,5898,32,0.54,71,0,28.641
358,VISITDENVER,US-LA,Louisiana,5899,18,0.31,24,0,65.172
174,POSITEC-WORX-TRADR,US-CA,California,5900,67,1.14,111,676.68,35.662
356,STARFACE-MDG-TRADR,US-WA,Washington,5900,72,1.22,87,0,105.927
358,VISITDENVER,US-MA,Massachusetts,5901,19,0.32,47,0,36.233
382,FILSON,US-SC,South Carolina,5903,391,6.62,85,275,136.336
356,STARFACE-MDG-TRADR,US-CA,California,5904,72,1.22,60,0,107.94
358,VISITDENVER,US-NY,New York,5905,9,0.15,18,0,43.123
356,STARFACE-MDG-TRADR,US-CO,Colorado,5906,68,1.15,61,0,88.921
358,VISITDENVER,US-MA,Massachusetts,5906,13,0.22,35,0,36.438
358,VISITDENVER,US-NJ,New Jersey,5908,11,0.19,18,0,64.159
358,VISITDENVER,US-AL,Alabama,5909,17,0.29,26,0,24.038
358,VISITDENVER,US-NE,Nebraska,5910,11,0.19,21,0,26.968
252,SMARTBIZ-MDG-TRADR,US-SC,South Carolina,5911,41,0.69,167,0,105.133
174,POSITEC-WORX-TRADR,US-MI,Michigan,5912,167,2.82,233,2152.21,29.39
358,VISITDENVER,US-MD,Maryland,5913,36,0.61,58,0,54.312
382,FILSON,US-FL,Florida,5916,130,2.19,34,700,140.371
358,VISITDENVER,US-MD,Maryland,5916,24,0.41,43,0,32.383
174,POSITEC-WORX-TRADR,US-TX,Texas,5918,97,1.64,85,490.49,27.617
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,5919,43,0.73,45,0,143.687
358,VISITDENVER,US-MN,Minnesota,5923,27,0.46,55,0,31.639
358,VISITDENVER,US-IL,Illinois,5924,20,0.34,37,0,43.294
358,VISITDENVER,US-MT,Montana,5924,23,0.39,28,0,45.955
174,POSITEC-WORX-TRADR,US-AR,Arkansas,5925,272,4.6,177,1053.03,59.891
274,BOBOS,US-UT,Utah,5926,39,0.66,57,29.88,47.737
358,VISITDENVER,US-OR,Oregon,5930,34,0.57,60,0,35.979
295,BENCHMADE,US-OR,Oregon,5930,16,0.27,13,0,34.804
274,BOBOS,US-AZ,Arizona,5933,57,0.96,77,0,40.055
256,SHEEX-MDG-TRADR,US-TX,Texas,5933,73,1.23,27,0,59.761
