Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks
295,BENCHMADE,US-CA,California,5842,59
49,FJALLRAVEN,CA-BC,British Columbia,5844,329
174,POSITEC-WORX-TRADR,US-CO,Colorado,5845,48
252,SMARTBIZ-MDG-TRADR,US-CO,Colorado,5845,12
358,VISITDENVER,US-TX,Texas,5846,14
382,FILSON,US-FL,Florida,5847,161
358,VISITDENVER,US-RI,Rhode Island,5848,33
274,BOBOS,US-OR,Oregon,5849,61
358,VISITDENVER,US-OH,Ohio,5851,28
356,STARFACE-MDG-TRADR,US-OK,Oklahoma,5852,70
182,ZIPRECRUITER-MDG-TRADR,US-AZ,Arizona,5853,0
358,VISITDENVER,US-VA,Virginia,5855,10
274,BOBOS,US-RI,Rhode Island,5861,73
358,VISITDENVER,US-CO,Colorado,5863,14
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,5865,37
256,SHEEX-MDG-TRADR,US-ID,Idaho,5869,123
358,VISITDENVER,US-MA,Massachusetts,5869,34
358,VISITDENVER,US-NE,Nebraska,5870,9
49,FJALLRAVEN,US-WA,Washington,5870,235
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,5873,0
358,VISITDENVER,US-FL,Florida,5873,28
358,VISITDENVER,US-NJ,New Jersey,5873,30
182,ZIPRECRUITER-MDG-TRADR,US-WI,Wisconsin,5873,0
358,VISITDENVER,US-PA,Pennsylvania,5874,23
358,VISITDENVER,US-TX,Texas,5874,22
358,VISITDENVER,US-MI,Michigan,5875,20
358,VISITDENVER,US-OK,Oklahoma,5877,32
358,VISITDENVER,US-PA,Pennsylvania,5877,46
359,THEGREAT,US-IN,Indiana,5879,327
358,VISITDENVER,US-MI,Michigan,5879,17
358,VISITDENVER,US-IA,Iowa,5880,20
358,VISITDENVER,US-MS,Mississippi,5880,16
256,SHEEX-MDG-TRADR,US-RI,Rhode Island,5880,223
174,POSITEC-WORX-TRADR,US-AZ,Arizona,5882,38
182,ZIPRECRUITER-MDG-TRADR,US-CA,California,5882,0
358,VISITDENVER,US-PA,Pennsylvania,5882,25
49,FJALLRAVEN,US-CA,California,5884,164
358,VISITDENVER,US-IL,Illinois,5886,32
358,VISITDENVER,US-MI,Michigan,5887,19
252,SMARTBIZ-MDG-TRADR,US-WA,Washington,5888,16
174,POSITEC-WORX-TRADR,US-VA,Virginia,5890,186
358,VISITDENVER,US-KS,Kansas,5891,30
358,VISITDENVER,US-WI,Wisconsin,5891,24
298,ANON,US-IL,Illinois,5892,20
174,POSITEC-WORX-TRADR,US-WA,Washington,5892,45
358,VISITDENVER,US-NC,North Carolina,5895,38
216,ROYAL ROBBINS,US-AZ,Arizona,5897,235
358,VISITDENVER,US-ID,Idaho,5897,13
359,THEGREAT,US-CA,California,5898,354
382,FILSON,US-CA,California,5898,26
358,VISITDENVER,US-IN,Indiana,5898,32
358,VISITDENVER,US-LA,Louisiana,5899,18
174,POSITEC-WORX-TRADR,US-CA,California,5900,67
356,STARFACE-MDG-TRADR,US-WA,Washington,5900,72
358,VISITDENVER,US-MA,Massachusetts,5901,19
382,FILSON,US-SC,South Carolina,5903,391
356,STARFACE-MDG-TRADR,US-CA,California,5904,72
358,VISITDENVER,US-NY,New York,5905,9
356,STARFACE-MDG-TRADR,US-CO,Colorado,5906,68
358,VISITDENVER,US-MA,Massachusetts,5906,13
358,VISITDENVER,US-NJ,New Jersey,5908,11
358,VISITDENVER,US-AL,Alabama,5909,17
358,VISITDENVER,US-NE,Nebraska,5910,11
252,SMARTBIZ-MDG-TRADR,US-SC,South Carolina,5911,41
174,POSITEC-WORX-TRADR,US-MI,Michigan,5912,167
358,VISITDENVER,US-MD,Maryland,5913,36
382,FILSON,US-FL,Florida,5916,130
358,VISITDENVER,US-MD,Maryland,5916,24
174,POSITEC-WORX-TRADR,US-TX,Texas,5918,97
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,5919,43
358,VISITDENVER,US-MN,Minnesota,5923,27
358,VISITDENVER,US-IL,Illinois,5924,20
358,VISITDENVER,US-MT,Montana,5924,23
174,POSITEC-WORX-TRADR,US-AR,Arkansas,5925,272
274,BOBOS,US-UT,Utah,5926,39
358,VISITDENVER,US-OR,Oregon,5930,34
295,BENCHMADE,US-OR,Oregon,5930,16
274,BOBOS,US-AZ,Arizona,5933,57
256,SHEEX-MDG-TRADR,US-TX,Texas,5933,73
256,SHEEX-MDG-TRADR,US-SC,South Carolina,5934,215
295,BENCHMADE,US-CA,California,5935,13
381,MODERNTREASURY-MDG-TRADR,US-NJ,New Jersey,5937,47
49,FJALLRAVEN,US-TX,Texas,5937,347
295,BENCHMADE,US-ME,Maine,5938,11
174,POSITEC-WORX-TRADR,US-CT,Connecticut,5939,171
182,ZIPRECRUITER-MDG-TRADR,US-AR,Arkansas,5941,0
252,SMARTBIZ-MDG-TRADR,US-CT,Connecticut,5946,5
364,SCOOTER-KARSHHAGAN,US-NC,North Carolina,5947,142
274,BOBOS,US-VA,Virginia,5948,98
358,VISITDENVER,US-PA,Pennsylvania,5949,26
385,DUKECANNON,US-NC,North Carolina,5951,1028
382,FILSON,US-WI,Wisconsin,5951,557
358,VISITDENVER,US-CA,California,5952,17
49,FJALLRAVEN,US-TX,Texas,5952,274
182,ZIPRECRUITER-MDG-TRADR,US-WA,Washington,5956,0
174,POSITEC-WORX-TRADR,US-OH,Ohio,5958,81
358,VISITDENVER,US-OH,Ohio,5962,27
358,VISITDENVER,US-PA,Pennsylvania,5962,47
182,ZIPRECRUITER-MDG-TRADR,US-IN,Indiana,5963,0
381,MODERNTREASURY-MDG-TRADR,US-CT,Connecticut,5965,25
358,VISITDENVER,US-MI,Michigan,5965,19
174,POSITEC-WORX-TRADR,US-SC,South Carolina,5965,147
382,FILSON,US-AZ,Arizona,5966,256
390,JobsOhio,US-OH,Ohio,5966,8
358,VISITDENVER,US-NH,New Hampshire,5969,8
256,SHEEX-MDG-TRADR,US-UT,Utah,5970,107
358,VISITDENVER,US-CA,California,5972,14
252,SMARTBIZ-MDG-TRADR,US-AZ,Arizona,5973,63
174,POSITEC-WORX-TRADR,US-CA,California,5973,158
358,VISITDENVER,US-FL,Florida,5973,43
252,SMARTBIZ-MDG-TRADR,US-SC,South Carolina,5975,11
174,POSITEC-WORX-TRADR,US-CA,California,5977,73
358,VISITDENVER,US-CA,California,5977,10
182,ZIPRECRUITER-MDG-TRADR,US-GA,Georgia,5977,0
358,VISITDENVER,US-MS,Mississippi,5979,24
274,BOBOS,US-CO,Colorado,5981,42
358,VISITDENVER,US-OH,Ohio,5982,36
